sample_id,source_name,source_type,page_type,page_width_mm,page_height_mm,spread_used,image_count,text_length_level,text_length_chars,has_title,has_subtitle,style_category,layout_family,pattern_id,image_arrangement,text_position,image_text_relation,hero_image_exists,hero_image_index,image_orientations,image_ratio_summary,reading_priority,visual_priority,white_space_level,alignment_type,grid_type,composition_axis,symmetry_level,rhythm_type,caption_used,overlay_text,body_column_count,body_position,title_position,main_image_position,secondary_image_position,overflow_strategy,why_this_layout_works,design_notes,quality_score
spread_001,HEAR MY VOICE opener,trend_report,spread,148,210,true,1,short,80,true,false,Exhibition Catalog,image-first,single_full_page,one_large_image,left_page_title,image_sets_mood,true,1,landscape,wide,low,high,high,left_aligned,two_column,horizontal,asymmetric,stable,false,false,0,none,left_page_center,right_page_full,none,next_page,Strong full-page image creates a chapter-opening atmosphere while the title page stays quiet.,Matches the Peace is Power spread example.,4
spread_002,Dove and Sweaty Betty campaign comparison,trend_report,single_page,148,210,false,2,medium,520,false,false,Editorial,balanced,two_images_top_text_bottom,two_images_side_by_side,below_images,text_explains_images,false,,portrait;landscape,mixed,medium,medium,medium,left_aligned,modular_grid,vertical,semi_symmetric,stable,false,false,1,bottom_left,none,top_area,none,next_page,"Two campaign visuals are compared first, then the text interprets both examples below.",Matches uploaded two-image campaign page.,2
spread_003,Macro trend intro text only,trend_report,single_page,148,210,false,0,medium,650,false,false,Editorial,text-first,text_only_continuation,no_image,upper_left,text_continues_argument,false,,none,none,high,low,high,left_aligned,single_column,vertical,asymmetric,quiet,false,false,1,upper_left,none,none,none,next_page,A text-only continuation page preserves readability after image-led spreads.,Useful overflow/fallback pattern.,2
spread_004,Three image editorial gallery,magazine,spread,148,210,true,3,medium,1600,true,false,Magazine,balanced,gallery_with_text_block,image_gallery,right_or_below_gallery,text_contextualizes_images,true,1,landscape;square;portrait,mixed,medium,medium,medium,grid_aligned,adaptive_grid,horizontal,asymmetric,dynamic,false,false,1,right_page,top_left,left_page_gallery,support_grid,next_page,Gallery creates visual rhythm while a single readable body block keeps the spread organized.,Good for 3-4 related images.,2
spread_005,Six image exhibition archive,catalog,spread,148,210,true,6,long,3200,true,true,Exhibition Catalog,text-first,one_page_gallery_one_page_text,gallery_on_one_page_text_on_other,opposite_page,text_contextualizes_images,true,1,landscape;landscape;portrait;square;square;portrait,mixed,high,medium,high,left_aligned,adaptive_grid,horizontal,asymmetric,stable,false,false,1,right_page,left_top,left_page_gallery,adaptive_grid,next_page,Separating gallery and body text avoids crowding and supports long-form reading.,Recommended for many images with long text.,4
spread_006,Synthetic Trend Report Reference 006,trend_report,spread,148,210,true,1,short,302,true,true,Magazine,image-first,single_full_page,one_large_image,opposite_page_short_text,image_sets_mood,true,1,square,wide,low,high,high,left_aligned,two_column,horizontal,asymmetric,stable,false,false,0,none,top_left,right_page_full,none,next_page,Best when a single strong image carries the mood and text remains minimal.,"Synthetic augmented example for single_full_page; use as LLM layout reference, not factual source.",4
spread_007,Synthetic Campaign Analysis Reference 007,campaign_report,single_page,148,210,false,1,short,339,false,false,Editorial,balanced,single_page_with_text_below,image_above_text,below_image,text_explains_image,true,1,landscape,square,medium,medium,high,left_aligned,single_column,vertical,semi_symmetric,stable,false,false,1,bottom_left,top_left,top_area,none,next_page,Stable one-page structure where the image is seen first and text explains it below.,"Synthetic augmented example for single_page_with_text_below; use as LLM layout reference, not factual source.",2
spread_008,Synthetic Exhibition Catalog Spread 008,exhibition_catalog,spread,148,210,true,1,medium,2154,true,false,Exhibition Catalog,balanced,single_left_image_right_text,left_image_right_text,right_side,text_contextualizes_image,true,1,landscape,wide,medium,medium,medium,left_aligned,two_column,horizontal,asymmetric,stable,false,false,1,right_page,none,left_page_large,none,next_page,Balances viewing and reading by separating image and body text across the spread.,"Synthetic augmented example for single_left_image_right_text; use as LLM layout reference, not factual source.",4
spread_009,Synthetic Magazine Feature Layout 009,magazine,spread,148,210,true,1,medium,2267,true,false,Editorial,text-first,single_left_text_right_image,left_text_right_image,left_page_text,image_supports_text,false,,landscape,mixed,high,medium,high,left_aligned,two_column,horizontal,asymmetric,stable,false,false,1,left_page,top_left,right_page_large,none,next_page,Prioritizes reading order while preserving a strong supporting visual on the opposite page.,"Synthetic augmented example for single_left_text_right_image; use as LLM layout reference, not factual source.",2
spread_010,Synthetic Editorial Archive Layout 010,editorial,spread,148,210,true,2,short,450,false,false,Exhibition Catalog,image-first,two_equal_images,two_equal_images,small_text_below,images_compared_equally,false,,landscape;landscape,tall_pair,low,high,medium,centered,two_column,horizontal,symmetric,stable,false,false,0,none,none,left_and_right_equal,none,next_page,Works when two visuals have equal importance and should be compared as a pair.,"Synthetic augmented example for two_equal_images; use as LLM layout reference, not factual source.",2
